question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"Which K-pop group performed ""Gangnam Style""?",PSY (solo),Big Bang,BTS,Super Junior,PSY (solo),modern,2,
What is BTS's fandom name?,ARMY,BLINK,ONCE,ELF,ARMY,modern,2,
"Which K-pop group released ""How You Like That"" in 2020?",BLACKPINK,TWICE,ITZY,Red Velvet,BLACKPINK,modern,3,
BTS's leader is?,Jin,RM,J-Hope,Suga,RM,modern,3,
"Which group released ""Super Shy"" in 2023?",NewJeans,IVE,aespa,LE SSERAFIM,NewJeans,current,3,
aespa's member Karina's real name is?,Yoo Jimin,Kim Minjeong,Ning Yizhuo,Giselle Aubrey,Yoo Jimin,current,3,
Which company manages NewJeans (ADOR)?,SM,JYP,YG,HYBE,HYBE,current,4,
TWICE debuted in which year?,2013,2014,2015,2016,2015,modern,3,
"Which K-pop group performed ""Gangnam Style""?",PSY (solo),Big Bang,BTS,Super Junior,PSY (solo),modern,2,
What is BTS's fandom name?,ARMY,BLINK,ONCE,ELF,ARMY,modern,2,
"Which K-pop group released ""How You Like That"" in 2020?",BLACKPINK,TWICE,ITZY,Red Velvet,BLACKPINK,modern,3,
BTS's leader is?,Jin,RM,J-Hope,Suga,RM,modern,3,
"Which group released ""Super Shy"" in 2023?",NewJeans,IVE,aespa,LE SSERAFIM,NewJeans,current,3,
aespa's member Karina's real name is?,Yoo Jimin,Kim Minjeong,Ning Yizhuo,Giselle Aubrey,Yoo Jimin,current,3,
Which company manages NewJeans (ADOR)?,SM,JYP,YG,HYBE,HYBE,current,4,
TWICE debuted in which year?,2013,2014,2015,2016,2015,modern,3,
