question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
조선을 건국한 사람은?,이성계,이방원,정도전,왕건,이성계,classic,2,
세종대왕이 만든 문자는?,한자,한글(훈민정음),이두,구결,한글(훈민정음),classic,2,
임진왜란이 일어난 해는?,1392년,1492년,1592년,1692년,1592년,classic,3,
한국의 가장 큰 섬은?,제주도,울릉도,강화도,거제도,제주도,classic,2,
고구려를 세운 인물은?,김유신,온조,주몽(동명성왕),박혁거세,주몽(동명성왕),classic,3,
광복절은 몇 월 며칠?,3월 1일,6월 25일,8월 15일,10월 3일,8월 15일,classic,2,
신라의 3대 성씨는?,박·석·김,김·이·박,최·이·박,김·최·박,박·석·김,classic,3,
고려를 공격한 몽골 침입 시기는?,12세기,13세기,14세기,11세기,13세기,classic,3,
조선의 한글 이름은?,조선,대한,고려,진한,조선,classic,3,
조선 왕조를 세운 해는?,1388년,1392년,1400년,1418년,1392년,classic,3,
세종대왕의 아들로 왕위에 오른 인물은?,세조,문종,단종,성종,문종,classic,3,
조선시대 왕 중 최장수 왕은?,태조,영조,숙종,정조,영조,classic,3,
조선왕조실록은 어느 왕 때부터 편찬되었나?,태조,태종,세종,성종,태조,classic,3,
유네스코 세계유산에 등재된 조선 왕릉의 개수는?,20기,30기,40기,50기,40기,classic,3,
임진왜란 당시 이순신의 부하 장수 이름 중 유명한 사람은?,권율,김시민,송상현,이원복,김시민,classic,3,
한국 최초의 서원은?,백운동서원(소수서원),도산서원,병산서원,옥산서원,백운동서원(소수서원),classic,3,
"""운요호 사건""이 일어난 해는?",1866년,1875년,1894년,1904년,1875년,classic,3,
강화도조약이 체결된 해는?,1875년,1876년,1894년,1905년,1876년,classic,3,
동학의 창시자는?,최제우,전봉준,홍경래,이익,최제우,classic,3,
"""을사늑약"" 체결 연도는?,1895년,1905년,1910년,1919년,1905년,classic,3,
한일합병(국권피탈) 연도는?,1905년,1908년,1910년,1919년,1910년,classic,3,
3·1 독립선언서가 실제로 낭독된 장소는?,서울 탑골공원,태화관,광화문,파고다공원,태화관,classic,3,
일제강점기 항일 시인으로 유명한 사람은?,이육사,윤동주,한용운,위 모두,위 모두,classic,3,
"""광복""은 몇 년 8월 15일?,1943년,1944년,1945년,1946년,1945년,classic,3,
"""제헌국회""가 구성된 해는?,1945년,1948년,1950년,1960년,1948년,classic,3,
대한민국 헌법 공포일은?,1948년 7월 17일,1945년 8월 15일,1960년 4월 19일,1987년 10월 29일,1948년 7월 17일,classic,3,
한일 국교 정상화(1965) 당시 한국 대통령은?,이승만,박정희,윤보선,전두환,박정희,classic,3,
"""경부고속도로"" 개통 연도는?,1968년,1970년,1972년,1975년,1970년,classic,3,
올림픽을 개최한 한국 도시 두 곳은?,서울·부산,서울·평창,부산·평창,서울·인천,서울·평창,classic,3,
"""남북정상회담""을 처음 가진 한국 대통령은?,김대중,노무현,김영삼,박정희,김대중,classic,3,
"""월드컵 4강""이 이루어진 연도 대한민국 대통령은?,김대중,노무현,이명박,박근혜,김대중,classic,3,
고구려의 수도가 초기에 위치한 지역은?,졸본,국내성,평양,한성,졸본,classic,3,
고려의 수도는?,개경(개성),평양,한양,경주,개경(개성),classic,3,
"""광개토대왕비""는 어느 지역에 있나?,평양,집안(중국 지안),경주,부여,집안(중국 지안),classic,3,
신라의 불국사·석굴암을 세운 왕은?,법흥왕,진흥왕,선덕여왕,경덕왕,경덕왕,classic,3,
후삼국 통일을 이룬 고려의 왕은?,태조 왕건,광종,성종,인종,태조 왕건,classic,3,
고려 왕건이 후삼국을 통일한 해는?,918년,926년,936년,960년,936년,classic,3,
고려의 정치 중심 기관은?,도병마사,삼사,6조,홍문관,도병마사,classic,3,
고려 때 팔만대장경이 만들어진 이유는?,몽골 격퇴를 부처님께 기원,왕실 번영,불교 확산,왕의 장수,몽골 격퇴를 부처님께 기원,classic,3,
조선의 6조에 속하지 않는 것은?,이조,호조,예조,문교부,문교부,classic,3,
세종 때 만든 측우기의 목적은?,강수량 측정,풍속 측정,지진 측정,기온 측정,강수량 측정,classic,3,
"""경복궁""을 처음 세운 왕은?,태조,태종,세종,세조,태조,classic,3,
"""경복궁""이 임진왜란 때 불탄 이후 복원된 시기는?,숙종,영조,고종,대한제국,고종,classic,3,
"""동의보감""을 편찬한 의학자는?,허준,유의태,이제마,이익,허준,classic,3,
"""대동법""을 처음 시행한 지역은?,경기도,충청도,경상도,전라도,경기도,classic,3,
"""탕평책""을 추진한 조선 왕은?,숙종,영조 · 정조,세종,세조,영조 · 정조,classic,3,
실학의 대가 정약용의 유배지는?,강진,제주,흑산도,울릉도,강진,classic,3,
"""홍경래의 난"" 발생 시기는?,1811년,1862년,1894년,1863년,1811년,classic,3,
"""갑오개혁""이 일어난 해는?,1884년,1894년,1904년,1910년,1894년,classic,3,
"""을미사변"" 발생 해는?,1882년,1895년,1905년,1919년,1895년,classic,3,
대한제국 선포 연도는?,1894년,1897년,1905년,1910년,1897년,classic,3,
"""헤이그 특사""가 파견된 해는?,1905년,1907년,1909년,1910년,1907년,classic,3,
"""6·10 만세 운동"" 발생 해는?,1919년,1926년,1929년,1945년,1926년,classic,3,
"""광주 학생 항일 운동"" 발생 해는?,1919년,1926년,1929년,1937년,1929년,classic,3,
임시정부가 상하이에서 이동한 최종지는?,난징,광저우,중경,홍콩,중경,classic,3,
"""훈민정음""이 반포된 날은 (현재 한글날)?,10월 9일,10월 3일,8월 15일,7월 17일,10월 9일,classic,3,
"""개천절""은 무엇을 기리는 날?,대한민국 건국,단군조선 건국,광복,제헌,단군조선 건국,classic,3,
"""제헌절""은 몇 월?,5월,7월,8월,10월,7월,classic,3,
"""현충일""은 몇 월?,3월,5월,6월,10월,6월,classic,3,
5·18 민주화 운동 발생 도시는?,서울,광주,부산,대구,광주,classic,3,
"""10·26 사태""로 암살된 한국 대통령은?,박정희,이승만,전두환,노태우,박정희,classic,3,
"""12·12 군사반란""의 중심 인물은?,전두환,노태우,박정희,김종필,전두환,classic,3,
"""6·29 선언""의 주체는?,노태우,전두환,김영삼,김대중,노태우,classic,3,
"""IMF 외환위기"" 시기 한국 대통령은?,김영삼 · 김대중,김대중 · 노무현,이명박,박근혜,김영삼 · 김대중,classic,3,
"""햇볕정책""의 주체는?,김대중,노무현,김영삼,이명박,김대중,classic,3,
"""세월호 참사"" 발생 연도는?,2013년,2014년,2015년,2016년,2014년,classic,3,
"""박근혜 탄핵"" 결정 연도는?,2016년,2017년,2018년,2019년,2017년,classic,3,
"""고구려"" ""광개토"" 왕의 정복 범위 주요 지역은?,만주,한강 이남,제주도,일본,만주,classic,3,
"""백제""의 전성기를 이끈 왕은?,근초고왕,무령왕,성왕,의자왕,근초고왕,classic,3,
"""신라 삼국통일""을 이룬 왕은?,진흥왕,문무왕,무열왕,경덕왕,문무왕,classic,3,
"""후백제""를 세운 인물은?,궁예,견훤,왕건,신검,견훤,classic,3,
"""후고구려(태봉)""를 세운 인물은?,궁예,견훤,왕건,신검,궁예,classic,3,
