question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
개미네 집 주소는?,허리도 가늘군 만지면 부러지리,가늘게 허리가 끊어지리,허리가 잘록해 안 보이리,개미허리 날씬하군 봐라,허리도 가늘군 만지면 부러지리,classic,2,
타이타닉 구명 보트에는 몇 명?,9명(구명 보트),7명(칠명 보트),8명(팔명 보트),10명(십명 보트),9명(구명 보트),classic,2,
서울시민 모두가 동시에 외치면?,천만의 말씀,백만의 말씀,억만의 말씀,만만의 말씀,천만의 말씀,classic,2,
도둑고양이에게 어울리는 금은?,야금야금,황금,금덩이,야금,야금야금,classic,2,
고기 먹을 때마다 따라오는 개는?,이쑤시개,쇠고기,불고기,고기개,이쑤시개,classic,2,
가장 슬픈 별은?,이별,슬픔별,외로운별,저별,이별,classic,2,
진짜 새의 이름은?,참새,진새,진짜새,진짜참새,참새,classic,2,
붉은 길에 떨어진 동전의 이름은?,홍길동전,빨간돈,붉은동전,홍동전,홍길동전,classic,2,
몸무게 가장 많이 나갈 때는?,철들 때,뼈들 때,살들 때,힘들 때,철들 때,classic,2,
B젖소가 A젖소를 이긴 이유는?,에이 졌소 / 삐 졌소,우유가 많아서,힘이 세서,뿔이 길어서,에이 졌소 / 삐 졌소,classic,2,
젖소와 강아지 싸우면 누가 이기나?,강아지(나 강하지),젖소(우유 힘),비겨,고양이,강아지(나 강하지),classic,2,
이혼이란?,이제 자유로운 혼자,이별한 혼자,이미 끝난 결혼,이렇게 헤어진 사람,이제 자유로운 혼자,classic,2,
고인돌이란?,고릴라가 인간을 돌멩이 취급하던 시대,고대 인류의 무덤,고대 돌무덤,고인이 된 돌,고릴라가 인간을 돌멩이 취급하던 시대,classic,2,
엉성하다란?,엉덩이가 풍성하다,허술하다,엉망이다,성글다,엉덩이가 풍성하다,classic,2,
절세미녀란?,절에 세들어 사는 미친 여자,세상에서 제일 예쁜 여자,절세의 미인,아름다운 여자,절에 세들어 사는 미친 여자,classic,2,
눈치코치란?,눈 때리고 코 때리고,눈치와 코치,눈치가 빠른 사람,눈과 코를 치료,눈 때리고 코 때리고,classic,2,
오리지날이란?,오리도 지랄하면 날 수 있다,진짜 원본,정통 원조,원래 것,오리도 지랄하면 날 수 있다,classic,2,
요조숙녀란?,요강에 조용히 앉아있는 숙녀,얌전한 여자,조신한 아가씨,예의바른 숙녀,요강에 조용히 앉아있는 숙녀,classic,2,
가장 뜨거운 바다는?,열바다,불바다,화해(火海),끓는해,열바다,classic,2,
가장 추운 바다는?,썰렁해,냉해,얼음해,시베리아해,썰렁해,classic,2,
세상에서 제일 더러운 집은?,똥집,쓰레기집,폐가,지저분한 집,똥집,classic,2,
세상에서 제일 맛있는 집은?,닭똥집,최고집,맛집,별미집,닭똥집,classic,2,
여자가 가장 좋아하는 집은?,시집,안방,내 집,예쁜 집,시집,classic,2,
남자가 가장 좋아하는 집은?,계집(작은집),큰집,클럽,편한 집,계집(작은집),classic,2,
목수도 고칠 수 없는 집은?,고집,폐가,무너진 집,귀신의 집,고집,classic,2,
자기들만 옳다는 사람들이 사는 집은?,고집,아집,독단의 집,독선적인 집,고집,classic,2,
보내기 싫으면?,가위나 바위를 낸다,붙잡는다,울면서 매달린다,문을 잠근다,가위나 바위를 낸다,classic,2,
땅팔자 사람팔자 7자로?,땅팔자 사람팔자,팔자가 기구하다,땅이 사람을 키운다,사람이 땅을 탄다,땅팔자 사람팔자,classic,2,
도둑 걸음걸이 4자로?,털레털레,살금살금,몰래몰래,슬금슬금,털레털레,classic,2,
식인종이 밥투정할 때?,에이 살맛 안 나,이 고기 질겨,사람 맛 없어,오늘 메뉴 별로야,에이 살맛 안 나,classic,2,
임꺽정이 타는 차는?,으라차차차,임꺽차,도둑차,산적차,으라차차차,classic,2,
양초가 꽉 찬 상자 3자로?,초만원,촛불상자,초가득,초포장,초만원,classic,2,
씨름선수들 죽 늘어서 있다 3자로?,장사진,씨름판,선수진,장사들,장사진,classic,2,
서로 진짜라고 우기는 신은?,옥신각신,진신논쟁,진짜신,진신,옥신각신,classic,2,
재밌는 곳은?,냉장고에 잼 있다,놀이동산,오락실,게임방,냉장고에 잼 있다,classic,2,
개가 사람을 가르친다 사자성어?,개인지도,개인교습,개훈련,인개교육,개인지도,classic,2,
소가 웃는 소리 3글자?,우하하,히히힝,꽥꽥,끼히힝,우하하,classic,2,
이심전심이란?,이순자 심심하면 전두환도 심심하다,마음과 마음이 통한다,서로 생각이 같다,말 안 해도 통한다,이순자 심심하면 전두환도 심심하다,classic,2,
