question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"1990년대 인기 애니메이션 ""천사소녀 네티""의 한국어 주제가를 부른 사람은?",이선희,장혜진,박선주,박정현,박선주,classic,2,
"""응답하라 1988""의 주인공 덕선이 역을 맡은 배우는?",박보검,류혜영,혜리,김새론,혜리,classic,3,
"80년대 ""태양은 가득히""를 부른 가수는?",전영록,김흥국,김수철,최성수,전영록,classic,2,
1994년 월드컵에서 홍명보가 골을 넣은 상대팀은?,스페인,독일,볼리비아,미국,미국,classic,3,
"추억의 게임 ""메이플스토리""가 출시된 해는?",2001년,2003년,2005년,2007년,2003년,classic,2,
"""라면공장"", ""응가게"", ""총게임"" — 이 게임들이 공통으로 돌아가던 기기는?",플레이스테이션,오락실(아케이드),PC방,닌텐도,오락실(아케이드),classic,3,
"1990년대 인기 애니메이션 ""천사소녀 네티""의 한국어 주제가를 부른 사람은?",이선희,장혜진,박선주,박정현,박선주,classic,2,
"""응답하라 1988""의 주인공 덕선이 역을 맡은 배우는?",박보검,류혜영,혜리,김새론,혜리,classic,3,
"80년대 ""태양은 가득히""를 부른 가수는?",전영록,김흥국,김수철,최성수,전영록,classic,2,
1994년 월드컵에서 홍명보가 골을 넣은 상대팀은?,스페인,독일,볼리비아,미국,미국,classic,3,
"추억의 게임 ""메이플스토리""가 출시된 해는?",2001년,2003년,2005년,2007년,2003년,classic,2,
"""라면공장"", ""응가게"", ""총게임"" — 이 게임들이 공통으로 돌아가던 기기는?",플레이스테이션,오락실(아케이드),PC방,닌텐도,오락실(아케이드),classic,3,
"1992년 인기 만화 ""슬램덩크"" 주인공은?",강백호,서태웅,송태섭,정대만,강백호,classic,3,
"""달려라 하니""의 감독은?",이진경,지금,김수정,신동우,지금,classic,3,
"""검정 고무신""의 주인공 이름은?",기영이,기철이,영이,철수,기영이,classic,3,
"""둘리""가 살던 가정의 큰아버지는?",길동이,고길동,김길동,이길동,고길동,classic,3,
"""하이틴 로맨스"" 만화의 스타는?",황미나,김진,김혜린,위 모두,위 모두,classic,3,
"1990년대 인기 웹툰 전신, ""폐인 만화""를 올리던 사이트는?",네이버,다음,이글루스·디시,싸이월드,이글루스·디시,classic,3,
"""사랑과 영혼"" 영화 주연은?",패트릭 스웨이지·데미 무어,톰 행크스·맥 라이언,브래드 피트·줄리아 로버츠,리처드 기어·줄리아 로버츠,패트릭 스웨이지·데미 무어,classic,3,
"""겨울왕국"" (2013) OST 대표곡은?",Let It Go,A Whole New World,Beauty and the Beast,Reflection,Let It Go,classic,3,
"""성냥팔이 소녀"" 동화의 작가는?",안데르센,그림 형제,디즈니,월트 디즈니,안데르센,classic,3,
"""핑클"" 멤버 중 배우로도 유명한 사람은?",이진,이효리,옥주현,성유리,성유리,classic,3,
