question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"""야구의 신""으로 불리는 한국 야구 전설은?",이승엽,선동열,박찬호,양준혁,선동열,classic,2,
2002 한일 월드컵 한국 축구 대표팀 감독은?,히딩크,박항서,허정무,최용수,히딩크,classic,2,
손흥민이 주장으로 뛰는 EPL 클럽은?,맨체스터 유나이티드,토트넘,첼시,아스날,토트넘,modern,2,
류현진이 MLB에 데뷔한 팀은?,LA 다저스,토론토 블루제이스,피츠버그,뉴욕 메츠,LA 다저스,modern,3,
2024 파리 올림픽 한국 양궁 여자 단체전 결과는?,금메달,은메달,동메달,4강 탈락,금메달,current,3,
손흥민이 2023-24 시즌 EPL 득점 순위 몇 위에 올랐나?,1위,2위,3위,4위,3위,current,4,
박지성이 뛴 EPL 팀은?,첼시,맨체스터 시티,맨체스터 유나이티드,리버풀,맨체스터 유나이티드,modern,3,
"""야구의 신""으로 불리는 한국 야구 전설은?",이승엽,선동열,박찬호,양준혁,선동열,classic,2,
2002 한일 월드컵 한국 축구 대표팀 감독은?,히딩크,박항서,허정무,최용수,히딩크,classic,2,
손흥민이 주장으로 뛰는 EPL 클럽은?,맨체스터 유나이티드,토트넘,첼시,아스날,토트넘,modern,2,
류현진이 MLB에 데뷔한 팀은?,LA 다저스,토론토 블루제이스,피츠버그,뉴욕 메츠,LA 다저스,modern,3,
2024 파리 올림픽 한국 양궁 여자 단체전 결과는?,금메달,은메달,동메달,4강 탈락,금메달,current,3,
손흥민이 2023-24 시즌 EPL 득점 순위 몇 위에 올랐나?,1위,2위,3위,4위,3위,current,4,
박지성이 뛴 EPL 팀은?,첼시,맨체스터 시티,맨체스터 유나이티드,리버풀,맨체스터 유나이티드,modern,3,
김연아의 마지막 경기 올림픽은?,2010 밴쿠버,2014 소치,2018 평창,2022 베이징,2014 소치,classic,3,
양학선이 올림픽 금메달을 딴 종목은?,기계체조,리듬체조,역도,유도,기계체조,classic,3,
2002년 월드컵 4강 상대국은?,독일,이탈리아,스페인,포르투갈,독일,classic,3,
"""영원한 캡틴"" 홍명보의 포지션은?",공격수,미드필더,수비수,골키퍼,수비수,classic,3,
박찬호가 MLB 데뷔한 팀은?,다저스,레인저스,파드리스,필라델피아,다저스,classic,3,
