question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"""무한도전"" MC로 가장 오래 활동한 인물은?",박명수,정준하,유재석,노홍철,유재석,classic,2,
"""1박2일"" 시즌 1의 PD로 유명한 사람은?",나영석,신원호,김태호,이명한,나영석,classic,3,
"""런닝맨"" 고정 멤버 중 ""왕코""로 불리는 사람은?",김종국,이광수,하하,지석진,이광수,modern,2,
"2024년 화제의 ""흑백요리사""에 출연한 유명 셰프가 아닌 사람은?",이연복,최현석,에드워드 리,강호동,강호동,current,2,
"2023~24 화제의 드라마 ""선재 업고 튀어"" 주인공 남자 배우는?",변우석,박형식,송강,남주혁,변우석,current,3,
"""기생충""으로 아카데미 작품상을 받은 감독은?",박찬욱,봉준호,김지운,이창동,봉준호,modern,3,
"넷플릭스 ""오징어 게임""의 감독은?",봉준호,황동혁,연상호,류승완,황동혁,current,3,
"""무한도전"" MC로 가장 오래 활동한 인물은?",박명수,정준하,유재석,노홍철,유재석,classic,2,
"""1박2일"" 시즌 1의 PD로 유명한 사람은?",나영석,신원호,김태호,이명한,나영석,classic,3,
"""런닝맨"" 고정 멤버 중 ""왕코""로 불리는 사람은?",김종국,이광수,하하,지석진,이광수,modern,2,
"2024년 화제의 ""흑백요리사""에 출연한 유명 셰프가 아닌 사람은?",이연복,최현석,에드워드 리,강호동,강호동,current,2,
"2023~24 화제의 드라마 ""선재 업고 튀어"" 주인공 남자 배우는?",변우석,박형식,송강,남주혁,변우석,current,3,
"""기생충""으로 아카데미 작품상을 받은 감독은?",박찬욱,봉준호,김지운,이창동,봉준호,modern,3,
"넷플릭스 ""오징어 게임""의 감독은?",봉준호,황동혁,연상호,류승완,황동혁,current,3,
"""내 이름은 김삼순"" 주연 여배우는?",김선아,이영애,하지원,최지우,김선아,classic,3,
"""꽃보다 남자"" 구준표 역은?",이민호,김현중,김범,김준,이민호,classic,3,
"""풀하우스"" (2004) 주연은?",송혜교·정지훈,김태희·비,윤은혜·주지훈,장서희·이동건,송혜교·정지훈,classic,3,
